mcccode,Тип торговой точки,mccgrp,Название торговой точки (латиница),Название торговой точки (кириллица),Адрес,№ кассы,Страна,Город,Дата внесения в базу,Примечание
0001,,Retail Purchase,,,,,,,10/8/2012,
0002,,Retail Purchase,,,,,,,10/8/2012,
0003,,Retail Purchase,,,,,,,10/8/2012,
0004,,Retail Purchase,,,,,,,10/8/2012,
0005,,Retail Purchase,,,,,,,10/8/2012,
0006,,Retail Purchase,,,,,,,10/8/2012,
0007,,Retail Purchase,,,,,,,10/8/2012,
0008,,Retail Purchase,,,,,,,10/8/2012,
0009,,Retail Purchase,,,,,,,10/8/2012,
0010,,Retail Purchase,,,,,,,10/8/2012,
0011,,Retail Purchase,,,,,,,10/8/2012,
0012,,Retail Purchase,,,,,,,10/8/2012,
0013,,Retail Purchase,,,,,,,10/8/2012,
0014,,Retail Purchase,,,,,,,10/8/2012,
0015,,Retail Purchase,,,,,,,10/8/2012,
0016,,Retail Purchase,,,,,,,10/8/2012,
0017,,Retail Purchase,,,,,,,10/8/2012,
0018,,Retail Purchase,,,,,,,10/8/2012,
0019,,Retail Purchase,,,,,,,10/8/2012,
0020,,Retail Purchase,,,,,,,10/8/2012,
0021,,Retail Purchase,,,,,,,10/8/2012,
0022,,Retail Purchase,,,,,,,10/8/2012,
0023,,Retail Purchase,,,,,,,10/8/2012,
0024,,Retail Purchase,,,,,,,10/8/2012,
0025,,Retail Purchase,,,,,,,10/8/2012,
0026,,Retail Purchase,,,,,,,10/8/2012,
0027,,Retail Purchase,,,,,,,10/8/2012,
0028,,Retail Purchase,,,,,,,10/8/2012,
0029,,Retail Purchase,,,,,,,10/8/2012,
0030,,Retail Purchase,,,,,,,10/8/2012,
0031,,Retail Purchase,,,,,,,10/8/2012,
0032,,Retail Purchase,,,,,,,10/8/2012,
0033,,Retail Purchase,,,,,,,10/8/2012,
0034,,Retail Purchase,,,,,,,10/8/2012,
0035,,Retail Purchase,,,,,,,10/8/2012,
0036,,Retail Purchase,,,,,,,10/8/2012,
0037,,Retail Purchase,,,,,,,10/8/2012,
0038,,Retail Purchase,,,,,,,10/8/2012,
0039,,Retail Purchase,,,,,,,10/8/2012,
0040,,Retail Purchase,,,,,,,10/8/2012,
